Index,Textual Faithfulness,Frame Consistency,Video Fidelity,Source Video,Edited Video,key,tasks,target_dirs,models,caption,editing_prompt,Textual Faithfulness_w1,Textual Faithfulness_w2,Textual Faithfulness_w3,Textual Faithfulness_w4,Frame Consistency_w1,Frame Consistency_w2,Frame Consistency_w3,Frame Consistency_w4,Video Fidelity_w1,Video Fidelity_w2,Video Fidelity_w3,Video Fidelity_w4
0,3.75,3.75,2.75,peacock,peacock_0_v_0,peacock,CE_animal,CE_animal/Vidtome,Vidtome,A peacock is fanning its feathers on the concrete ground next to an iron fence,A swan is fanning its feathers on the concrete ground next to an iron fence,4,4,4,3,4,4,4,3,3,3,3,2
1,3.75,4,3.75,gold-fish,gold-fish_0_v_0,gold-fish,CE_animal,CE_animal/Vidtome,Vidtome,Goldfish in an aquarium with a blue background,Betta fish in an aquarium with a blue background,4,4,4,3,4,5,4,3,4,5,3,3
2,3.25,2.75,2.25,horse-race,horse-race_0_v_0,horse-race,CE_animal,CE_animal/Vidtome,Vidtome,"Horses are racing in a muddy track during a rainstorm, with one horse running ahead and the others closely behind","Dogs are racing in a muddy track during a rainstorm, with one dog running ahead and the others closely behind",4,3,3,3,4,1,3,3,4,1,2,2
3,4,3,3,ocean-birds,ocean-birds_0_v_0,ocean-birds,CE_animal,CE_animal/Vidtome,Vidtome,Two white birds walking on the beach near the sea,Two black birds walking on the beach near the sea,4,4,4,4,4,2,3,3,4,2,3,3
4,3.75,3.5,3.25,monkeys,monkeys_0_v_0,monkeys,CE_animal,CE_animal/Vidtome,Vidtome,A mother monkey and a baby monkey are picking things to eat on the grassland,A mother gorilla and a baby gorilla are picking things to eat on the grassland,4,4,4,3,4,4,3,3,4,3,3,3
5,3.75,3.25,3.25,sheep,sheep_0_v_0,sheep,CE_animal,CE_animal/Vidtome,Vidtome,A group of sheep in a field with a fence,A group of cows in a field with a fence,4,3,4,4,4,2,3,4,4,2,4,3
6,3.75,3.5,2.5,camel,camel_0_v_0,camel,CE_animal,CE_animal/Vidtome,Vidtome,A camel walking in an enclosure with a fence,A giraffe walking in an enclosure with a fence,4,4,4,3,4,3,4,3,2,3,3,2
7,4,4,3.75,dog-competition,dog-competition_0_v_0,dog-competition,CE_animal,CE_animal/Vidtome,Vidtome,"A woman competes with her dog in a dog competition, while a crowd watches in the background","A woman competes with her cat in a cat competition, while a crowd watches in the background",4,4,4,4,4,4,4,4,4,4,4,3
8,1.75,3,2.75,videvo_swans,videvo_swans_0_v_0,videvo_swans,CE_animal,CE_animal/Vidtome,Vidtome,A group of swans are swimming calmly on the water.,A group of black swans are swimming calmly on the water.,2,2,2,1,3,3,3,3,3,3,3,2
9,3.75,3.5,3.25,butterfly,butterfly_0_v_0,butterfly,CE_animal,CE_animal/Vidtome,Vidtome,A blue butterfly flying over a plant,A yellow butterfly flying over a plant,3,4,4,4,3,4,4,3,2,4,4,3
